City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
dolinsk,75,RU,1532122200,100,47.32,142.8,64.4,4.47
san patricio,24,PY,1532125444,95,-26.98,-56.83,49.75,5.39
iqaluit,20,CA,1532124000,48,63.75,-68.52,66.2,20.8
salinas,90,US,1532123700,77,36.67,-121.66,77,16.11
isangel,68,VU,1532125445,100,-19.55,169.27,72.88,9.75
mogadishu,92,SO,1532125400,100,2.04,45.34,76.3,18.81
bajil,0,ES,1532125446,29,38.23,-2.07,77.11,8.41
port-gentil,40,GA,1532124000,88,-0.72,8.78,73.4,9.17
amderma,,,,,,,,
tsihombe,,,,,,,,
guaimaro,40,CO,1532124000,66,10.58,-74.71,87.8,10.29
sataua,,,,,,,,
manzil jamil,,,,,,,,
yagodnoye,0,RU,1532125447,50,62.52,149.63,53.98,2.93
irbeyskoye,0,RU,1532125448,95,55.64,95.45,53.98,4.05
puerto narino,75,CO,1532124000,94,-3.77,-70.38,75.2,9.17
pokhara,36,NP,1532125448,66,28.21,83.99,65.68,4.05
mount gambier,12,AU,1532125448,89,-37.83,140.78,45.25,3.6
gualaquiza,80,EC,1532125449,87,-3.4,-78.58,67.21,2.37
tumannyy,,,,,,,,
olafsvik,,,,,,,,
sorvag,,,,,,,,
bambous virieux,40,MU,1532124000,64,-20.34,57.76,71.6,17.22
sao filipe,32,CV,1532125450,95,14.9,-24.5,77.47,6.17
nanortalik,48,GL,1532125450,96,60.14,-45.24,39.94,10.76
payo,88,ID,1532125451,93,-3.75,103.64,73.96,3.94
campbell river,40,CA,1532124000,27,50.02,-125.24,73.4,19.46
tonj,,,,,,,,
mill valley,1,US,1532123880,42,37.91,-122.55,91.4,6.93
ust-maya,68,RU,1532125452,87,60.42,134.54,60.55,2.48
lufilufi,64,WS,1532125452,100,-13.87,-171.6,78.64,18.25
kosai,20,JP,1532122200,83,34.71,137.53,82.4,4.7
puerto asis,92,CO,1532125452,100,0.51,-76.5,70.63,2.59
shache,92,CN,1532125453,26,38.42,77.24,83.77,8.41
viligili,,,,,,,,
windsor locks,20,US,1532123700,42,41.93,-72.63,82.4,9.17
agadez,32,NE,1532125453,34,16.97,7.99,86.65,10.42
banjarmasin,20,ID,1532122200,88,-3.32,114.59,77,7.52
ciudad bolivar,36,VE,1532125454,60,8.12,-63.55,87.73,15.01
honningsvag,75,NO,1532121600,93,70.98,25.97,51.8,3.36
morros,20,BR,1532124000,74,-2.87,-44.04,80.6,8.05
faro,0,PT,1532124000,60,37.02,-7.94,73.4,8.05
gautier,75,US,1532124360,59,30.39,-88.61,96.8,3.94
gibara,40,CU,1532123400,49,21.11,-76.13,89.6,9.17
sobolevo,92,RU,1532125456,99,54.43,31.9,66.67,3.38
ituni,,,,,,,,
sabla,8,NG,1532125456,88,12.75,4.71,77.47,5.39
hrinova,0,SK,1532124000,82,48.58,19.53,62.6,1.12
ust-koksa,68,RU,1532125457,82,50.27,85.62,45.07,1.92
yaan,92,NG,1532125457,94,7.38,8.57,73.42,7.07
chuy,100,UY,1532125457,93,-33.69,-53.46,50.65,16.58
kyabram,0,AU,1532125458,91,-36.31,145.05,38.32,5.61
gannan,92,CN,1532125458,97,47.92,123.49,71.62,7.74
moses lake,1,US,1532123580,17,47.13,-119.28,82.4,5.82
ngaoundere,88,CM,1532125458,96,7.32,13.58,65.23,3.6
meulaboh,100,ID,1532125459,100,4.14,96.13,78.46,3.49
novosmolinskiy,20,RU,1532122200,88,56.28,43.05,68,8.95
kaihua,0,CN,1532125459,92,29.14,118.41,69.73,2.37
morshansk,20,RU,1532125460,76,53.44,41.81,69.1,6.4
pochutla,75,MX,1532122860,66,15.74,-96.47,87.8,7.63
playia,,,,,,,,
lolua,,,,,,,,
gazanjyk,0,TM,1532125461,51,39.24,55.52,84.22,3.49
amberley,0,NZ,1532124000,62,-43.15,172.73,51.8,10.29
clyde river,75,CA,1532124000,93,70.47,-68.59,42.8,10.29
omboue,24,GA,1532125462,99,-1.57,9.26,73.15,12.21
mareeba,20,AU,1532124000,94,-16.99,145.42,68,3.15
san rafael,0,AR,1532125463,37,-34.61,-68.33,46.42,2.93
gambela,36,ET,1532125463,88,8.25,34.59,64.51,2.48
bontang,0,ID,1532125464,100,0.12,117.47,79.63,7.96
johnstown,1,US,1532123700,60,40.33,-78.92,82.4,14.99
camacha,40,PT,1532124000,83,33.08,-16.33,71.6,11.41
izhma,0,RU,1532125464,89,65.01,53.91,58.57,2.71
pierre,1,US,1532123580,40,44.37,-100.35,86,9.17
mogzon,32,RU,1532125465,97,51.74,111.97,61.81,6.51
creel,92,MX,1532125465,25,27.75,-107.63,79.54,4.38
tshikapa,0,CD,1532125466,70,-6.42,20.79,69.55,2.59
porto novo,0,BR,1532124000,57,-23.68,-45.44,75.2,1.92
moyale,20,ET,1532125466,89,3.52,39.05,60.73,3.04
devonport,8,AU,1532125248,82,-41.18,146.36,35.98,6.62
havoysund,40,NO,1532123400,93,71,24.66,51.8,8.05
namtsy,0,RU,1532125467,70,62.72,129.66,56.41,4.38
yerbogachen,64,RU,1532125467,70,61.28,108.01,58.66,8.97
bulatukan,75,PH,1532120400,100,6.9,125.16,77,2.15
saint-georges,12,CA,1532125468,56,46.12,-70.67,79,3.15
tammisaari,,,,,,,,
nome,1,US,1532123700,47,30.04,-94.42,96.8,5.82
byron bay,0,AU,1532124000,62,-28.65,153.62,51.8,2.24
altos del rosario,0,CO,1532125469,49,8.79,-74.16,96.01,0.47
luziania,0,BR,1532124000,52,-16.25,-47.95,66.2,4.7
sorong,0,ID,1532125470,100,-0.86,131.25,80.53,6.96
ranfurly,0,CA,1532125470,80,53.41,-111.68,76.93,12.55
polunochnoye,0,RU,1532125470,68,60.87,60.43,57.31,5.73
richards bay,0,ZA,1532125471,85,-28.77,32.06,59.11,7.96
masterton,56,NZ,1532125183,80,-40.95,175.66,47.5,12.55
opuwo,12,NA,1532125471,54,-18.06,13.84,51.46,6.17
sur,0,OM,1532125471,83,22.57,59.53,88.72,8.75
holt,75,GB,1532123400,93,53.08,-2.88,59,1.12
pisco,75,PE,1532124000,82,-13.71,-76.2,64.4,10.29
yekaterinovka,0,RU,1532125473,82,46.69,38.75,71.44,9.08
sola,75,NO,1532123400,93,58.89,5.65,60.8,3.36
kibala,0,TD,1532124000,74,9.11,18.35,82.4,5.5
kuche,,,,,,,,
satitoa,,,,,,,,
caravelas,56,BR,1532125474,99,-17.73,-39.27,76.39,9.98
moanda,0,CD,1532125474,86,-5.93,12.38,70.72,5.61
fujin,68,CN,1532125475,100,47.24,132.03,73.24,3.71
turtkul,,,,,,,,
am timan,64,TD,1532125475,89,11.04,20.28,72.97,2.04
longuenesse,88,FR,1532124000,88,50.74,2.25,64.4,3.36
santa cruz de tenerife,40,ES,1532124000,93,28.47,-16.25,71.6,19.46
blenheim,48,NZ,1532125476,100,-41.52,173.96,50.47,11.43
pindiga,0,NG,1532125476,84,9.98,10.93,75.31,5.61
matara,56,PE,1532125477,43,-13.74,-72.9,53.08,2.59
camana,,,,,,,,
mopti,20,ML,1532120400,66,14.49,-4.19,84.2,6.93
ilmenau,0,DE,1532123400,46,50.69,10.91,69.8,3.36
rosarito,40,CO,1532124000,65,4.91,-75.23,78.8,4.7
muros,40,ES,1532124000,93,42.77,-9.06,59,2.24
ulaangom,0,MN,1532125479,83,49.98,92.07,35.08,1.92
kazalinsk,,,,,,,,
noshiro,75,JP,1532123400,94,40.21,140.05,71.6,4.7
banepa,75,NP,1532123400,94,27.63,85.52,71.6,2.24
okhotsk,56,RU,1532125480,93,59.36,143.24,56.59,4.38
kremasti,0,GR,1532125480,60,36.98,22.87,72.25,4.05
lyubech,88,UA,1532125480,94,51.7,30.66,66.85,7.96
palabuhanratu,,,,,,,,
gopalpur,80,IN,1532125481,98,25.6,86.94,76.93,7.63
talcahuano,0,CL,1532120400,71,-36.72,-73.12,51.8,8.05
boende,76,CD,1532125481,74,-0.28,20.88,77.02,2.15
san marcos,40,GT,1532124000,62,14.97,-91.79,89.6,2.04
mackay,90,CA,1532124000,93,53.65,-115.58,55.4,3.36
port hawkesbury,1,CA,1532124000,64,45.62,-61.36,69.8,6.93
wanning,8,AT,1532123400,52,48.64,13.53,69.8,6.93
moorhead,40,US,1532124900,69,46.87,-96.75,77,11.41
nurota,0,UZ,1532125484,23,40.56,65.69,71.8,6.62
boralday,40,KZ,1532122200,67,43.36,76.86,62.6,2.24
vic,20,ES,1532124000,88,41.93,2.25,77,1.48
salalah,90,OM,1532119800,88,17.01,54.1,78.8,5.82
plettenberg bay,20,ZA,1532125485,92,-34.05,23.37,64.69,9.42
manggar,20,ID,1532125485,98,-2.88,108.27,77.38,7.18
seka,92,ET,1532125485,97,7.6,36.72,56.68,2.15
kushmurun,,,,,,,,
codrington,0,AU,1532125486,61,-28.95,153.24,39.22,4.94
alta floresta,0,BR,1532120400,31,-9.87,-56.08,89.6,5.82
belaya glina,8,RU,1532125486,67,46.08,40.86,72.88,9.64
coahuayana,8,MX,1532125487,74,18.62,-100.35,78.73,3.04
jalu,0,LY,1532125487,31,29.03,21.55,81.07,6.96
sept-iles,75,CA,1532124000,68,50.2,-66.38,68,8.05
port jervis,1,US,1532123640,44,41.38,-74.69,80.6,12.75
naryan-mar,0,RU,1532125488,73,67.67,53.09,59.47,7.07
langsa,92,ID,1532125488,86,4.47,97.97,72.7,1.7
carutapera,56,BR,1532125488,79,-1.2,-46.02,80.53,6.73
evensk,36,RU,1532125489,86,61.92,159.24,56.05,2.15
ellenabad,64,IN,1532125489,78,29.45,74.66,86.47,3.15
dingle,68,PH,1532125489,80,11,122.67,79.63,11.43
krasnoarmeysk,75,RU,1532122200,94,56.12,38.15,68,8.95
ugoofaaru,44,MV,1532125490,100,5.67,73,80.98,17.69
hay river,75,CA,1532124000,60,60.82,-115.79,68,9.17
tezu,20,IN,1532125490,78,27.93,96.16,72.79,1.59
santa rosalia,0,IT,1532123700,69,38.07,13.27,77,4.7
ardesen,0,TR,1532122200,83,41.19,40.99,69.8,10.29
pinega,0,RU,1532125491,54,64.7,43.39,69.28,5.95
georgiyevka,32,RU,1532125492,95,52.25,40.45,64.42,2.48
muncie,75,US,1532124900,83,40.19,-85.39,73.4,5.82
ternate,90,PH,1532120400,100,14.29,120.72,82.4,12.75
inhambane,88,MZ,1532125492,93,-23.87,35.38,67.57,8.19
ajdabiya,0,LY,1532125493,36,30.75,20.22,81.43,12.77
vila velha,0,BR,1532124000,78,-3.71,-38.6,78.8,11.41
drumheller,0,CA,1532125493,56,51.47,-112.7,78.55,13.78
alekseyevsk,92,RU,1532125494,99,57.84,108.35,59.92,7.07
ngukurr,,,,,,,,
sidrolandia,0,BR,1532124000,47,-20.93,-54.96,78.8,6.93
zarakes,,,,,,,,
dunedin,44,NZ,1532125495,79,-45.87,170.5,40.39,7.52
rosario oeste,0,BR,1532125495,31,-14.84,-56.43,88.81,2.71
marsh harbour,24,BS,1532125444,98,26.54,-77.06,84.76,12.66
itaituba,36,BR,1532125495,57,-4.26,-55.99,88.09,2.15
qianan,100,CN,1532125496,75,44.99,124.06,81.7,16.8
shingu,88,JP,1532125496,98,33.72,135.99,81.43,2.71
olinda,20,EC,1532124000,52,-2.03,-79.75,87.8,5.82
kaeo,76,NZ,1532125496,78,-35.1,173.78,50.92,5.73
indramayu,100,ID,1532125497,87,-4.05,103.78,71.98,3.38
cockburn town,24,TC,1532125497,97,21.46,-71.14,82.78,19.82
bobcaygeon,1,CA,1532124000,45,44.54,-78.55,82.4,12.75
el wasta,,,,,,,,
prachin buri,92,TH,1532125498,96,14.05,101.37,75.58,7.63
vilyuysk,56,RU,1532125498,80,63.75,121.63,59.56,2.59
attawapiskat,,,,,,,,
varhaug,75,NO,1532123400,93,58.61,5.65,59,3.36
zhigansk,80,RU,1532125499,73,66.77,123.37,46.78,11.99
bathsheba,20,BB,1532124000,69,13.22,-59.52,82.4,21.92
bonthe,92,SL,1532125499,97,7.53,-12.5,76.21,3.94
tambun,75,MY,1532120400,94,4.62,101.14,77,1.12
babanusah,,,,,,,,
eirunepe,8,BR,1532125500,67,-6.66,-69.87,86.47,2.93
roald,36,NO,1532123400,100,62.58,6.12,59,6.93
macia,0,MZ,1532125501,89,-25.03,33.09,54.88,2.59
andevoranto,,,,,,,,
khovu-aksy,32,RU,1532125501,93,51.13,93.72,46.24,1.92
dholka,75,IN,1532122200,94,22.73,72.44,80.6,9.17
ostersund,24,SE,1532123400,82,63.18,14.64,62.6,11.41
luang prabang,92,LA,1532125502,100,19.89,102.14,69.1,1.92
buchanan,75,LR,1532124000,94,5.88,-10.05,77,5.06
santa cruz,12,US,1532123760,64,36.97,-122.03,91.4,11.41
srednekolymsk,0,RU,1532125505,56,67.46,153.71,58.12,3.38
arras,76,FR,1532124000,93,50.29,2.78,64.4,4.7
dzhebariki-khaya,0,RU,1532125506,70,62.22,135.8,61.36,2.37
haines junction,0,CA,1532125506,30,60.75,-137.51,69.37,2.37
santiago del estero,0,AR,1532125506,31,-27.8,-64.26,58.12,11.21
bauchi,24,NG,1532125506,97,10.31,9.85,67.84,3.04
kidal,0,ML,1532125507,22,18.44,1.41,88.81,9.53
namibe,0,AO,1532125507,99,-15.19,12.15,67.12,6.73
irece,24,BR,1532125507,52,-11.3,-41.86,73.78,12.44
moroni,36,US,1532125508,26,39.52,-111.59,84.22,4.61
simao,92,CN,1532125508,98,22.76,100.79,67.75,2.37
taltal,0,CL,1532125508,80,-25.41,-70.49,61.63,3.94
portage,90,US,1532124900,100,41.58,-87.18,75.2,12.75
poronaysk,68,RU,1532125509,97,49.22,143.1,61,3.71
darhan,92,MN,1532125509,99,49.49,105.92,58.93,3.94
leonidovo,68,RU,1532125510,97,49.28,142.87,61,3.71
lappeenranta,90,FI,1532123400,83,61.06,28.19,69.8,8.05
voh,20,NC,1532125510,100,-20.95,164.69,67.48,9.42
abha,0,SA,1532124000,68,18.22,42.5,69.8,3.04
leua,0,AO,1532125511,42,-11.65,20.45,56.41,5.39
sorland,36,NO,1532125511,99,67.67,12.69,55.69,14.67
bubaque,40,GW,1532124000,88,11.28,-15.83,78.8,3.36
shiraz,40,IR,1532122200,23,29.61,52.54,86,4.7
kwekwe,0,ZW,1532125512,92,-18.93,29.81,45.25,10.54
hobyo,20,SO,1532125513,77,5.35,48.53,76.21,21.5
cap malheureux,40,MU,1532124000,64,-19.98,57.61,71.6,17.22
samusu,,,,,,,,
naze,92,NG,1532125514,99,5.43,7.07,71.44,3.49
beruwala,80,LK,1532125514,92,6.48,79.98,81.79,16.13
beaver dam,40,US,1532123700,88,43.46,-88.84,75.2,3.36
jingdezhen,0,CN,1532125515,90,29.29,117.2,76.48,2.59
ranong,75,TH,1532120400,100,9.96,98.62,77,16.58
jinchengjiang,,,,,,,,
talnakh,0,RU,1532125515,87,69.49,88.39,36.88,2.15
akyab,,,,,,,,
chabahar,36,IR,1532125516,98,25.29,60.65,86.47,7.74
bassila,24,BJ,1532125516,98,9,1.66,70.54,3.94
mbulu,36,TZ,1532125517,90,-3.86,35.54,59.2,11.54
kungurtug,92,RU,1532125517,100,50.6,97.53,46.24,4.5
najran,0,SA,1532120400,30,17.54,44.22,86,6.93
holzminden,0,DE,1532123400,49,51.83,9.45,71.6,4.7
juneau,40,US,1532123760,56,58.3,-134.42,69.8,10.29
mezen,0,RU,1532125518,63,65.85,44.24,65.95,5.61
cerritos,20,US,1532123760,45,33.86,-118.05,91.4,10.29
yalutorovsk,76,RU,1532125519,72,56.65,66.31,63.16,12.55
tara,75,JP,1532122200,78,33,130.15,84.2,6.96
sinegorye,0,RU,1532125520,42,62.09,150.53,53.53,2.71
wulanhaote,,,,,,,,
ambon,0,FR,1532124000,77,47.55,-2.56,64.4,9.17
ha giang,32,VN,1532125521,96,22.83,104.99,68.47,1.7
verkhnyaya inta,0,RU,1532125522,90,65.99,60.32,54.79,2.15
usvyaty,68,RU,1532125522,86,55.75,30.75,68.2,7.63
clocolan,0,ZA,1532125522,68,-28.91,27.57,28.42,2.71
moranbah,0,AU,1532125523,51,-22,148.04,52.36,12.21
tiarei,20,PF,1532124000,69,-17.53,-149.33,82.4,8.05
zyryanka,0,RU,1532125523,56,65.73,150.89,56.77,7.07
ndele,,,,,,,,
saint anthony,1,US,1532123760,14,43.97,-111.68,93.2,10.29
artyk,,,,,,,,
laguna,20,MX,1532122920,18,27.52,-110.01,105.8,3.36
abnub,0,EG,1532124000,42,27.27,31.15,82.4,4.7
palkaka,,,,,,,,
shenjiamen,32,CN,1532125525,99,29.96,122.3,80.35,12.77
eucaliptus,75,BO,1532120400,87,-17.6,-67.51,44.6,16.11
bakchar,0,RU,1532125526,59,57.02,82.07,53.17,5.17
veliki preslav,64,BG,1532125526,77,43.16,26.81,73.15,5.73
x-can,,,,,,,,
ornskoldsvik,88,SE,1532123400,77,63.29,18.72,71.6,2.24
los llanos de aridane,0,ES,1532124000,78,28.66,-17.92,71.6,14.99
saint-joseph,0,FR,1532124000,83,43.56,6.97,78.8,3.36
mehamn,90,NO,1532121600,100,71.03,27.85,51.8,10.29
bafoulabe,56,ML,1532125528,75,13.81,-10.83,80.89,4.16
graham,75,US,1532123640,48,36.07,-79.4,84.2,9.17
druzhnaya gorka,75,RU,1532122200,88,59.28,30.14,69.8,8.95
kamenka,48,RU,1532125529,81,53.19,44.05,69.28,6.73
ahumada,,,,,,,,
skalistyy,,,,,,,,
ponta delgada,20,PT,1532124000,77,37.73,-25.67,68,8.05
tayshet,20,RU,1532125530,82,55.94,98.01,60.1,6.06
hofn,92,IS,1532125530,98,64.25,-15.21,49.57,14.67
lae,40,PG,1532120400,88,-6.72,146.98,73.4,1.36
niigata,0,JP,1532121000,69,37.91,139.04,80.6,6.93
beringovskiy,76,RU,1532125531,100,63.05,179.32,48.85,15.12
pacifica,75,US,1532123760,54,37.61,-122.49,91.4,4.72
san cristobal,75,EC,1532120400,52,-0.39,-78.55,66.2,19.46
pombia,75,IT,1532123400,100,45.65,8.63,68,11.41
kato milea,0,GR,1532123400,50,40.25,22.34,78.8,9.17
devils lake,20,US,1532122500,50,48.11,-98.87,77,14.99
port-cartier,75,CA,1532124000,68,50.03,-66.88,68,8.05
paita,0,PE,1532124000,73,-5.09,-81.11,71.6,18.34
ola,0,RU,1532122200,71,59.58,151.3,57.2,4.47
bayir,0,TR,1532123400,65,37.27,28.22,77,5.82
pangkalanbuun,0,ID,1532125534,94,-2.68,111.62,73.33,4.05
french harbor,20,HN,1532120400,70,16.35,-86.43,87.8,11.41
saint-pierre,20,FR,1532124000,87,48.95,4.24,69.8,6.93
solnechnyy,92,RU,1532125535,92,50.72,136.64,54.79,5.61
port moresby,20,PG,1532120400,100,-9.47,147.16,73.4,11.41
belchatow,0,PL,1532124000,87,51.37,19.36,60.8,1.12
oro valley,75,US,1532124420,30,32.39,-110.97,98.6,11.41
ust-kuyga,92,RU,1532125537,100,70,135.55,38.77,5.5
portland,20,US,1532123760,31,45.52,-122.67,77,10.29
the valley,20,AI,1532124000,74,18.22,-63.06,84.2,16.11
yurimaguas,40,PE,1532124000,74,-5.9,-76.1,84.2,3.36
umea,80,SE,1532123400,82,63.83,20.26,62.6,3.36
snasa,44,NO,1532125538,98,64.25,12.38,58.12,2.37
